epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.57965,1.19912,3.82909,1.14993,0.00703,0.9898,0.01636,0.00877,1.10189,3.43713,0.97843,0.00010002,0.00010002,0.00010002
2,9.85069,1.28239,3.21535,1.09046,0.00692,1,0.22156,0.13349,1.06974,3.20545,0.95283,0.000212419,0.000212419,0.000212419
3,11.4848,1.17578,2.29333,1.07268,0.00693,1,0.51836,0.2109,1.09354,3.12644,0.93194,0.000320197,0.000320197,0.000320197
4,13.0256,1.29018,1.9565,1.12561,0.00692,0.9898,0.57424,0.26986,1.14069,3.2302,0.99605,0.000423355,0.000423355,0.000423355
5,14.6874,1.2742,1.80075,1.1515,0.00587,0.92857,0.50885,0.19399,1.03228,3.3483,1.01541,0.000521891,0.000521891,0.000521891
6,16.2682,1.1982,1.57297,1.08835,0.00596,0.94898,0.45592,0.20784,1.01623,3.28179,0.99472,0.000615806,0.000615806,0.000615806
7,17.8957,1.16437,1.64648,1.10601,0.00208,0.43495,0.01947,0.00775,1.03095,3.20073,0.96506,0.000705101,0.000705101,0.000705101
8,19.4465,1.10175,1.37174,1.07646,0.0031,0.52679,0.07049,0.03683,1.09557,3.0715,0.98044,0.000789775,0.000789775,0.000789775
9,21.0296,1.11969,1.34962,1.07339,0.00406,0.68112,0.3498,0.19465,1.11764,3.03597,1.01468,0.000869827,0.000869827,0.000869827
10,22.5814,1.09791,1.28001,1.05768,0.00563,0.83418,0.57575,0.32597,1.08162,2.83179,1.00824,0.000945259,0.000945259,0.000945259
11,24.3237,1.13447,1.22813,1.10065,0.09536,0.83418,0.52534,0.32992,1.1118,2.66878,1.03172,0.00101607,0.00101607,0.00101607
12,25.9241,1.10567,1.23734,1.06635,0.95003,0.1838,0.65847,0.43879,1.08825,2.53293,1.00915,0.00108226,0.00108226,0.00108226
13,27.4234,1.0879,1.17508,1.05243,0.97529,0.19637,0.72842,0.4982,1.10985,2.3791,1.04011,0.00114383,0.00114383,0.00114383
14,28.9638,1.06422,1.12621,1.03083,0.94644,0.32438,0.78681,0.54609,1.12036,2.24782,1.03099,0.00120078,0.00120078,0.00120078
15,30.5362,1.06097,1.13061,1.03565,0.94413,0.40548,0.81654,0.57624,1.09452,2.14467,1.02623,0.00120491,0.00120491,0.00120491
16,32.0562,1.06319,1.12695,1.02465,0.90195,0.81505,0.92668,0.66088,1.06258,1.73155,1.01094,0.0011719,0.0011719,0.0011719
17,33.5748,1.05713,1.1583,1.02572,0.93034,0.80156,0.91425,0.67226,1.06376,1.78525,1.02125,0.00113889,0.00113889,0.00113889
18,35.212,1.03859,1.13011,1.05039,0.92549,0.78859,0.92813,0.62952,1.17239,1.67051,1.07282,0.00110589,0.00110589,0.00110589
19,36.7348,1.00334,1.04912,1.00935,0.8835,0.84522,0.90979,0.64221,1.12799,1.45389,1.03913,0.00107288,0.00107288,0.00107288
20,38.2749,1.01872,1.04039,1.00994,0.83234,0.73832,0.91927,0.6589,1.09845,1.23881,1.04456,0.00103987,0.00103987,0.00103987
21,39.7561,0.96632,0.9584,1.00806,0.75386,0.79573,0.94268,0.66984,1.1029,1.1589,1.06949,0.00100687,0.00100687,0.00100687
22,41.2908,0.9736,0.95029,1.01487,0.92891,0.95918,0.96498,0.65845,1.14053,0.95102,1.11418,0.000973861,0.000973861,0.000973861
23,42.9567,0.99403,0.94588,1.02128,0.95065,0.91111,0.96579,0.65059,1.12984,0.91958,1.11896,0.000940855,0.000940855,0.000940855
24,44.4918,0.95422,0.93526,1.00386,0.93079,0.91837,0.96116,0.67442,1.10273,0.8921,1.0596,0.000907848,0.000907848,0.000907848
25,46.0038,0.99311,0.91062,1.01665,0.92041,0.94164,0.9633,0.66484,1.10097,0.89028,1.05635,0.000874842,0.000874842,0.000874842
26,47.5039,0.94528,0.86825,0.98025,0.95862,0.91837,0.97135,0.6996,1.08743,0.80258,1.05163,0.000841835,0.000841835,0.000841835
27,49.0333,0.92151,0.84102,0.97729,0.9354,0.96572,0.97304,0.69244,1.09939,0.77839,1.04562,0.000808828,0.000808828,0.000808828
28,50.5688,0.89278,0.82915,0.96085,0.92682,0.94696,0.9683,0.71103,1.02676,0.76617,1.01788,0.000775822,0.000775822,0.000775822
29,52.0371,0.88488,0.83229,0.96696,0.93605,0.95918,0.96892,0.72309,1.01362,0.7583,1.01109,0.000742815,0.000742815,0.000742815
30,53.5751,0.88348,0.82212,0.96918,0.91882,0.94898,0.96254,0.69877,1.03894,0.75515,1.0278,0.000709809,0.000709809,0.000709809
31,55.1004,0.88171,0.80071,0.95197,0.89591,0.96939,0.96044,0.71841,0.95135,0.75549,1.00187,0.000676802,0.000676802,0.000676802
32,56.6235,0.84172,0.83246,0.98091,0.92766,0.94838,0.95847,0.71733,0.96285,0.75356,0.99216,0.000643795,0.000643795,0.000643795
33,58.0926,0.82943,0.76819,0.9304,0.93899,0.94413,0.9605,0.73429,0.97448,0.73213,0.99394,0.000610789,0.000610789,0.000610789
34,59.7734,0.81112,0.77006,0.93789,0.93493,0.96543,0.96606,0.7262,0.96681,0.67341,0.99215,0.000577782,0.000577782,0.000577782
35,61.2942,0.84487,0.7546,0.9312,0.93205,0.96626,0.96941,0.75219,0.94888,0.64807,0.97877,0.000544776,0.000544776,0.000544776
36,62.8352,0.77412,0.6956,0.91447,0.9299,0.97035,0.97423,0.74626,0.9408,0.65951,0.98659,0.000511769,0.000511769,0.000511769
37,64.3079,0.80187,0.76668,0.95252,0.92354,0.96677,0.97358,0.73489,0.95358,0.67583,0.99155,0.000478762,0.000478762,0.000478762
38,65.8181,0.78943,0.74463,0.9428,0.95086,0.92699,0.96488,0.72403,0.95656,0.66296,0.98692,0.000445756,0.000445756,0.000445756
39,67.3321,0.79145,0.71333,0.92912,0.95451,0.92857,0.96225,0.7175,0.96312,0.66557,0.99666,0.000412749,0.000412749,0.000412749
40,68.8195,0.79131,0.70727,0.93084,0.94329,0.92857,0.95785,0.71736,0.95409,0.66273,0.99406,0.000379743,0.000379743,0.000379743
41,74.6451,0.71797,0.82938,0.8823,0.93355,0.94762,0.95308,0.69766,0.96914,0.67138,0.99896,0.000346736,0.000346736,0.000346736
