epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,103.034,0.84365,0.59305,0.95776,0.96715,0.98326,0.98978,0.73951,0.87413,0.52522,0.97983,0.00110314,0.00110314,0.00110314
43,105.364,0.81091,0.58913,0.95757,0.97547,0.97857,0.99173,0.73683,0.85971,0.50723,0.97047,0.00108938,0.00108938,0.00108938
44,107.713,0.82104,0.56394,0.94612,0.97342,0.98901,0.99079,0.72817,0.85425,0.50434,0.96275,0.00107563,0.00107563,0.00107563
45,110.009,0.81895,0.58169,0.95199,0.9922,0.96994,0.9907,0.74694,0.85111,0.48944,0.95271,0.00106188,0.00106188,0.00106188
46,112.478,0.80708,0.57009,0.93678,0.97201,0.98558,0.99028,0.74811,0.82959,0.50562,0.95232,0.00104813,0.00104813,0.00104813
47,114.871,0.78514,0.55431,0.93222,0.98419,0.98413,0.9867,0.74973,0.83842,0.53627,0.95564,0.00103437,0.00103437,0.00103437
48,117.393,0.78542,0.54883,0.92945,0.97976,0.98708,0.98483,0.72694,0.84798,0.56265,0.96089,0.00102062,0.00102062,0.00102062
49,119.685,0.77738,0.53334,0.92183,0.96895,0.97802,0.98439,0.75875,0.82209,0.50072,0.95079,0.00100687,0.00100687,0.00100687
50,122.047,0.77199,0.55414,0.93269,0.98117,0.97829,0.98563,0.72996,0.84044,0.51342,0.95246,0.000993115,0.000993115,0.000993115
51,124.379,0.77671,0.54031,0.93895,0.97677,0.97811,0.98831,0.73946,0.82763,0.48539,0.95673,0.000979362,0.000979362,0.000979362
52,126.774,0.7488,0.51638,0.92392,0.98691,0.98415,0.98865,0.75479,0.84343,0.4771,0.96314,0.00096561,0.00096561,0.00096561
53,128.945,0.7853,0.52669,0.94256,0.98496,0.98352,0.98833,0.77107,0.8095,0.47281,0.94102,0.000951857,0.000951857,0.000951857
54,131.115,0.75489,0.52442,0.92127,0.97221,0.97802,0.98764,0.77316,0.83806,0.49306,0.9482,0.000938104,0.000938104,0.000938104
55,133.311,0.74056,0.50807,0.9203,0.97423,0.98352,0.98634,0.77103,0.85907,0.49721,0.95954,0.000924352,0.000924352,0.000924352
56,135.487,0.7678,0.52472,0.93286,0.97058,0.98901,0.989,0.78185,0.77728,0.48254,0.9346,0.000910599,0.000910599,0.000910599
57,137.812,0.77236,0.50261,0.92936,0.97353,0.98145,0.99122,0.77806,0.76601,0.46722,0.92674,0.000896846,0.000896846,0.000896846
58,140.053,0.73445,0.4976,0.90861,0.98939,0.97802,0.9921,0.77928,0.81703,0.46047,0.94725,0.000883093,0.000883093,0.000883093
59,142.4,0.7219,0.49391,0.90322,0.98232,0.98901,0.99214,0.79755,0.73294,0.43489,0.91824,0.00086934,0.00086934,0.00086934
60,144.587,0.71913,0.49115,0.91682,0.98049,0.98901,0.98729,0.79691,0.73106,0.44248,0.91237,0.000855588,0.000855588,0.000855588
61,146.723,0.69496,0.47179,0.90062,0.97994,0.98352,0.98447,0.7948,0.74857,0.45968,0.91415,0.000841835,0.000841835,0.000841835
62,149.018,0.72923,0.49244,0.91847,0.97081,0.98901,0.9835,0.78618,0.76529,0.45623,0.90927,0.000828082,0.000828082,0.000828082
63,151.191,0.7125,0.4782,0.90222,0.97571,0.98901,0.98556,0.7946,0.72389,0.43471,0.90045,0.000814329,0.000814329,0.000814329
64,153.423,0.69207,0.47998,0.90751,0.97513,0.98901,0.99027,0.78892,0.75913,0.45512,0.91872,0.000800577,0.000800577,0.000800577
65,155.554,0.71739,0.46425,0.91532,0.98049,0.98901,0.99029,0.78838,0.78187,0.44545,0.92304,0.000786824,0.000786824,0.000786824
66,157.749,0.69348,0.46675,0.90215,0.97867,0.98352,0.98953,0.78547,0.73846,0.43164,0.91211,0.000773071,0.000773071,0.000773071
67,162.063,0.71282,0.48416,0.89905,0.97929,0.98901,0.98933,0.77408,0.7557,0.45736,0.92065,0.000759318,0.000759318,0.000759318
68,164.467,0.65713,0.43752,0.8807,0.97624,0.9896,0.98966,0.78367,0.71853,0.44959,0.90735,0.000745566,0.000745566,0.000745566
69,166.741,0.66435,0.45884,0.8953,0.98125,0.98901,0.98979,0.79082,0.73783,0.44015,0.91219,0.000731813,0.000731813,0.000731813
70,169.054,0.67337,0.45943,0.89672,0.98463,0.98901,0.98844,0.8009,0.71064,0.42124,0.91058,0.00071806,0.00071806,0.00071806
71,171.373,0.67332,0.45232,0.88674,0.97909,0.97253,0.98781,0.78973,0.75475,0.43889,0.92783,0.000704307,0.000704307,0.000704307
72,173.862,0.66925,0.45379,0.90363,0.98554,0.98352,0.98558,0.78952,0.70238,0.42253,0.90935,0.000690555,0.000690555,0.000690555
73,176.13,0.649,0.44411,0.88543,0.98392,0.98901,0.98736,0.79483,0.71994,0.42148,0.91978,0.000676802,0.000676802,0.000676802
74,178.446,0.66062,0.45207,0.87724,0.98378,0.98901,0.99058,0.79209,0.73736,0.42418,0.93388,0.000663049,0.000663049,0.000663049
75,180.919,0.66804,0.47528,0.90988,0.98558,0.98901,0.99047,0.79872,0.72826,0.42311,0.93083,0.000649297,0.000649297,0.000649297
76,183.497,0.62149,0.4373,0.88201,0.98731,0.98901,0.98992,0.8241,0.6892,0.40038,0.91691,0.000635544,0.000635544,0.000635544
77,185.817,0.64282,0.45027,0.89393,0.98711,0.98901,0.99025,0.81115,0.7021,0.40535,0.91221,0.000621791,0.000621791,0.000621791
78,188.162,0.65562,0.43894,0.88573,0.98362,0.98802,0.98991,0.81975,0.6951,0.4002,0.90972,0.000608038,0.000608038,0.000608038
79,190.522,0.60687,0.41381,0.87375,0.98657,0.98901,0.99211,0.81911,0.70102,0.38393,0.90922,0.000594286,0.000594286,0.000594286
80,192.978,0.63351,0.42091,0.88425,0.98247,0.98946,0.99062,0.82153,0.6692,0.38176,0.90186,0.000580533,0.000580533,0.000580533
81,195.294,0.65181,0.4244,0.89761,0.98184,0.98989,0.99032,0.82552,0.66439,0.37969,0.89691,0.00056678,0.00056678,0.00056678
82,197.679,0.62834,0.41648,0.87183,0.98845,0.98901,0.99107,0.82821,0.68631,0.38283,0.89915,0.000553027,0.000553027,0.000553027
83,200.038,0.58895,0.40421,0.87329,0.98499,0.98131,0.99076,0.81576,0.67357,0.39605,0.89274,0.000539275,0.000539275,0.000539275
84,202.575,0.5955,0.40966,0.8786,0.97482,0.98983,0.99093,0.82286,0.66885,0.40622,0.88857,0.000525522,0.000525522,0.000525522
85,204.921,0.60583,0.41335,0.87742,0.97687,0.98491,0.99002,0.82078,0.67268,0.40828,0.89303,0.000511769,0.000511769,0.000511769
86,207.354,0.58597,0.41743,0.86744,0.97693,0.98354,0.99129,0.82312,0.65707,0.40066,0.88885,0.000498016,0.000498016,0.000498016
87,209.759,0.57505,0.42074,0.87378,0.98996,0.97802,0.99305,0.81953,0.66377,0.39106,0.89013,0.000484263,0.000484263,0.000484263
88,212.231,0.56628,0.39895,0.86796,0.97976,0.98352,0.99169,0.82642,0.66164,0.39113,0.89029,0.000470511,0.000470511,0.000470511
89,214.43,0.56227,0.4021,0.87053,0.97598,0.98959,0.99084,0.84204,0.63086,0.3881,0.88426,0.000456758,0.000456758,0.000456758
90,216.685,0.57264,0.41248,0.856,0.97644,0.99013,0.99036,0.84117,0.62694,0.38685,0.8835,0.000443005,0.000443005,0.000443005
91,218.914,0.55864,0.39581,0.85969,0.97824,0.98352,0.99047,0.8341,0.65101,0.39185,0.89423,0.000429253,0.000429253,0.000429253
92,221.156,0.54654,0.38034,0.86115,0.97791,0.98352,0.99099,0.83649,0.62907,0.37804,0.89466,0.0004155,0.0004155,0.0004155
93,223.499,0.54176,0.39103,0.85477,0.98198,0.98352,0.99039,0.83869,0.61287,0.37248,0.89064,0.000401747,0.000401747,0.000401747
94,225.685,0.54198,0.39212,0.85521,0.98424,0.98352,0.98792,0.82302,0.62272,0.37123,0.88934,0.000387994,0.000387994,0.000387994
95,227.901,0.52612,0.37604,0.84873,0.9731,0.98942,0.98787,0.82845,0.60785,0.36655,0.88643,0.000374242,0.000374242,0.000374242
96,230.095,0.53081,0.37788,0.84741,0.97744,0.98748,0.98769,0.82338,0.61131,0.37327,0.88517,0.000360489,0.000360489,0.000360489
97,232.259,0.55303,0.38249,0.87319,0.97529,0.99034,0.98814,0.82695,0.60715,0.37424,0.88393,0.000346736,0.000346736,0.000346736
98,234.42,0.55096,0.37989,0.85236,0.97579,0.98577,0.98847,0.83891,0.60187,0.36601,0.88448,0.000332983,0.000332983,0.000332983
99,236.594,0.57476,0.38115,0.86337,0.97568,0.98901,0.98835,0.8334,0.59863,0.36992,0.88133,0.000319231,0.000319231,0.000319231
100,238.876,0.53234,0.36553,0.85635,0.98213,0.98091,0.99011,0.83399,0.59214,0.35342,0.87928,0.000305478,0.000305478,0.000305478
101,241.134,0.52896,0.36104,0.86075,0.98743,0.98163,0.99117,0.84182,0.59306,0.35638,0.88104,0.000291725,0.000291725,0.000291725
102,243.472,0.50478,0.35913,0.84694,0.98535,0.98493,0.99102,0.83475,0.5928,0.35112,0.87805,0.000277972,0.000277972,0.000277972
103,245.841,0.51412,0.36055,0.85553,0.98032,0.99319,0.99104,0.83852,0.59643,0.34839,0.87765,0.00026422,0.00026422,0.00026422
104,248.068,0.51971,0.35895,0.84716,0.98207,0.99351,0.99109,0.84792,0.58533,0.34383,0.874,0.000250467,0.000250467,0.000250467
105,250.26,0.51658,0.36652,0.83505,0.98585,0.99451,0.99109,0.84118,0.57296,0.34401,0.87331,0.000236714,0.000236714,0.000236714
106,252.521,0.50367,0.35411,0.83946,0.98546,0.99451,0.99152,0.84013,0.57567,0.34344,0.87358,0.000222961,0.000222961,0.000222961
107,254.783,0.48768,0.35656,0.83206,0.98823,0.98352,0.99155,0.83199,0.5884,0.35357,0.87782,0.000209209,0.000209209,0.000209209
108,256.978,0.50712,0.3575,0.84407,0.98682,0.98463,0.99126,0.8378,0.57864,0.35634,0.87628,0.000195456,0.000195456,0.000195456
109,259.144,0.49114,0.34469,0.8421,0.9863,0.98547,0.99114,0.83699,0.57334,0.34944,0.87561,0.000181703,0.000181703,0.000181703
110,261.323,0.47234,0.35013,0.8347,0.98631,0.98635,0.9909,0.83778,0.57887,0.35101,0.87272,0.00016795,0.00016795,0.00016795
111,280.905,0.46621,0.35201,0.8151,0.98793,0.98672,0.99049,0.83687,0.59699,0.35623,0.87504,0.000154198,0.000154198,0.000154198
112,283.182,0.45303,0.35219,0.81977,0.98387,0.98352,0.9903,0.83899,0.59225,0.35357,0.87712,0.000140445,0.000140445,0.000140445
113,285.244,0.44004,0.34244,0.81223,0.9823,0.98553,0.99021,0.83362,0.60369,0.35279,0.88155,0.000126692,0.000126692,0.000126692
114,287.489,0.43195,0.32597,0.81173,0.97545,0.99451,0.9897,0.83676,0.59255,0.34613,0.88089,0.000112939,0.000112939,0.000112939
115,289.756,0.41764,0.31425,0.80085,0.97465,0.99411,0.98993,0.84092,0.58142,0.34163,0.87765,9.91865e-05,9.91865e-05,9.91865e-05
116,292.056,0.41322,0.31567,0.81818,0.97469,0.99338,0.98996,0.84386,0.581,0.34513,0.8746,8.54337e-05,8.54337e-05,8.54337e-05
117,294.288,0.41904,0.30925,0.80655,0.97507,0.99328,0.98998,0.8436,0.58183,0.34387,0.87479,7.1681e-05,7.1681e-05,7.1681e-05
118,296.586,0.41066,0.31119,0.81463,0.97491,0.99399,0.99002,0.85419,0.57734,0.341,0.87509,5.79283e-05,5.79283e-05,5.79283e-05
119,298.715,0.39726,0.30581,0.7989,0.97543,0.99125,0.99014,0.85587,0.57638,0.34101,0.87678,4.41755e-05,4.41755e-05,4.41755e-05
120,300.879,0.39427,0.30768,0.79911,0.97628,0.98901,0.9903,0.85025,0.577,0.33844,0.87806,3.04227e-05,3.04227e-05,3.04227e-05
